episode,alpha_idx,action_0,action_1,action_2
0,0,0.000000,249.551404,250.000047
0,1,250.000094,250.000000,250.000015
0,2,250.000058,250.000000,250.000000
0,3,250.000042,250.000000,250.000000
0,4,250.000038,250.000000,250.000000
0,5,250.000034,250.000000,250.000000
0,6,250.000029,250.000024,250.000000
0,7,250.000019,250.000000,250.000000
0,8,250.000013,250.000000,250.000000
0,9,250.000007,250.000000,250.000000
0,10,250.000000,250.000000,250.000000
0,11,250.000000,250.000000,250.000000
0,12,250.000000,250.000000,250.000000
0,13,250.000000,250.000000,250.000000
0,14,250.000000,250.000000,250.000000
0,15,250.000000,250.000000,0.000000

1,0,0.000000,249.551854,250.000361
1,1,249.999989,250.000004,249.550051
1,2,250.000087,250.000001,250.000003
1,3,250.000091,250.000000,250.000000
1,4,250.000081,250.000000,250.000000
1,5,250.000072,250.000000,250.000029
1,6,250.000086,250.000024,250.000000
1,7,250.000037,250.000000,250.000000
1,8,250.000026,250.000000,250.000000
1,9,250.000014,250.000000,250.000000
1,10,250.000000,250.000000,250.000000
1,11,250.000000,250.000000,250.000000
1,12,250.000000,250.000000,250.000000
1,13,250.000000,250.000000,250.000000
1,14,250.000000,250.000000,250.000000
1,15,250.000000,250.000000,0.000000

2,0,0.000000,249.552302,249.999263
2,1,249.549859,249.999549,249.552325
2,2,250.000154,250.000040,250.000003
2,3,250.000129,250.000000,250.000000
2,4,250.000115,250.000000,250.000000
2,5,250.000101,250.000000,250.000029
2,6,250.000110,250.000024,250.000000
2,7,250.000056,250.000000,250.000000
2,8,250.000039,250.000000,250.000000
2,9,250.000021,250.000000,250.000000
2,10,250.000000,250.000000,250.000000
2,11,250.000000,250.000000,250.000000
2,12,250.000000,250.000000,250.000000
2,13,250.000000,250.000000,250.000000
2,14,250.000000,250.000000,250.000000
2,15,250.000000,250.000000,0.000000

3,0,0.000000,249.552749,249.998820
3,1,249.553465,249.993663,249.555930
3,2,249.999765,249.550048,250.000003
3,3,250.000169,250.000000,250.000000
3,4,250.000149,250.000000,250.000000
3,5,250.000130,250.000000,250.000029
3,6,250.000134,250.000024,250.000000
3,7,250.000074,250.000000,250.000000
3,8,250.000052,250.000000,250.000000
3,9,250.000028,250.000000,250.000000
3,10,250.000000,250.000000,250.000000
3,11,250.000000,250.000000,250.000000
3,12,250.000000,250.000000,250.000000
3,13,250.000000,250.000000,250.000000
3,14,250.000000,250.000000,250.000000
3,15,250.000000,250.000000,0.000000

4,0,0.000000,249.552749,249.999403
4,1,249.554492,250.004258,249.557434
4,2,250.000382,249.551240,250.002929
4,3,250.001801,250.005071,249.867137
4,4,250.117177,250.004579,250.001529
4,5,250.002016,250.000000,250.000029
4,6,250.000158,250.000024,250.000000
4,7,250.000093,250.000000,250.000000
4,8,250.000065,250.000000,250.000000
4,9,250.000035,250.000000,250.000000
4,10,250.000000,250.000000,250.000000
4,11,250.000000,250.000000,250.000000
4,12,250.000000,250.000000,250.000000
4,13,250.000000,250.000000,250.000000
4,14,250.000000,250.000000,250.000000
4,15,250.000000,250.000000,0.000000

5,0,0.000000,249.552749,249.999488
5,1,249.555025,250.007100,249.558661
5,2,250.000811,249.551240,250.009511
5,3,250.006194,249.960556,249.882271
5,4,250.123148,250.005649,250.002318
5,5,250.003177,250.000000,250.000029
5,6,250.000188,250.000048,250.000000
5,7,250.000111,250.000000,250.000000
5,8,250.000078,250.000000,250.000000
5,9,250.000042,250.000000,250.000000
5,10,250.000000,250.000000,250.000000
5,11,250.000000,250.000000,250.000000
5,12,250.000000,250.000000,250.000000
5,13,250.000000,250.000000,250.000000
5,14,250.000000,250.000000,250.000000
5,15,250.000000,250.000000,0.000000

6,0,0.000000,249.553196,249.999695
6,1,249.556940,250.004721,249.564544
6,2,250.001162,249.555021,250.016361
6,3,249.563567,249.961045,249.884862
6,4,250.122278,250.005805,250.002319
6,5,250.003333,250.000032,250.000029
6,6,250.000212,250.000048,250.000000
6,7,250.000130,250.000000,250.000000
6,8,250.000091,250.000000,250.000000
6,9,250.000049,250.000000,250.000000
6,10,250.000000,250.000000,250.000000
6,11,250.000000,250.000000,250.000000
6,12,250.000000,250.000000,250.000000
6,13,250.000000,250.000000,250.000000
6,14,250.000000,250.000000,250.000000
6,15,250.000000,250.000000,0.000000

7,0,0.000000,249.553196,249.999695
7,1,249.556940,250.010629,249.566044
7,2,250.001803,249.556573,250.020627
7,3,249.578881,249.644207,249.895782
7,4,250.124832,250.005805,250.002319
7,5,250.003486,250.000064,250.000029
7,6,250.000236,250.000048,250.000000
7,7,250.000149,250.000000,250.000000
7,8,250.000104,250.000000,250.000000
7,9,250.000056,250.000000,250.000000
7,10,250.000000,250.000000,250.000000
7,11,250.000000,250.000000,250.000000
7,12,250.000000,250.000000,250.000000
7,13,250.000000,250.000000,250.000000
7,14,250.000000,250.000000,250.000000
7,15,250.000000,250.000000,0.000000

8,0,0.000000,249.553196,249.999695
8,1,249.556940,250.009741,249.566952
8,2,250.001820,249.556573,250.019760
8,3,249.587250,249.646782,249.971713
8,4,249.811440,250.007813,250.002706
8,5,250.005136,250.000064,250.000029
8,6,250.000263,250.000048,250.000000
8,7,250.000167,250.000000,250.000000
8,8,250.000117,250.000000,250.000000
8,9,250.000063,250.000000,250.000000
8,10,250.000000,250.000000,250.000000
8,11,250.000000,250.000000,250.000000
8,12,250.000000,250.000000,250.000000
8,13,250.000000,250.000000,250.000000
8,14,250.000000,250.000000,250.000000
8,15,250.000000,250.000000,0.000000

9,0,0.000000,249.553196,249.999695
9,1,249.556940,250.009741,249.566952
9,2,250.001820,249.556573,250.019760
9,3,249.587250,249.646782,249.974214
9,4,249.817059,249.776027,250.003925
9,5,250.006438,250.000064,250.000030
9,6,250.000303,250.000048,250.000000
9,7,250.000186,250.000000,250.000000
9,8,250.000130,250.000000,250.000000
9,9,250.000070,250.000000,250.000000
9,10,250.000000,250.000000,250.000000
9,11,250.000000,250.000000,250.000000
9,12,250.000000,250.000000,250.000000
9,13,250.000000,250.000000,250.000000
9,14,250.000000,250.000000,250.000000
9,15,250.000000,250.000000,0.000000

10,0,0.000000,249.553196,249.999695
10,1,249.556940,250.009741,249.566952
10,2,250.001820,249.556573,250.019715
10,3,249.587682,249.647224,249.975297
10,4,249.819288,249.778893,250.017588
10,5,249.765634,250.001348,250.000415
10,6,250.000936,250.000049,250.000000
10,7,250.000204,250.000000,250.000000
10,8,250.000143,250.000000,250.000000
10,9,250.000077,250.000000,250.000000
10,10,250.000000,250.000000,250.000000
10,11,250.000000,250.000000,250.000000
10,12,250.000000,250.000000,250.000000
10,13,250.000000,250.000000,250.000000
10,14,250.000000,250.000000,250.000000
10,15,250.000000,250.000000,0.000000

11,0,0.000000,249.553196,249.999695
11,1,249.556940,250.009741,249.566952
11,2,250.001820,249.556573,250.019715
11,3,249.587682,249.647224,249.975297
11,4,249.819288,249.778893,250.018398
11,5,249.773474,249.780171,250.002104
11,6,250.002685,250.000057,250.000000
11,7,250.000224,250.000000,250.000000
11,8,250.000156,250.000000,250.000000
11,9,250.000084,250.000000,250.000000
11,10,250.000000,250.000000,250.000000
11,11,250.000000,250.000000,250.000000
11,12,250.000000,250.000000,250.000000
11,13,250.000000,250.000000,250.000000
11,14,250.000000,250.000000,250.000000
11,15,250.000000,250.000000,0.000000

12,0,0.000000,249.553196,249.999695
12,1,249.556940,250.009741,249.566952
12,2,250.001820,249.556573,250.019715
12,3,249.587682,249.647224,249.975384
12,4,249.819600,249.778893,250.018297
12,5,249.778979,249.785185,250.023875
12,6,249.768557,250.001301,250.000200
12,7,250.000669,250.000001,250.000000
12,8,250.000169,250.000000,250.000000
12,9,250.000091,250.000000,250.000000
12,10,250.000001,250.000000,250.000000
12,11,250.000000,250.000000,250.000000
12,12,250.000000,250.000000,250.000000
12,13,250.000000,250.000000,250.000000
12,14,250.000000,250.000000,250.000000
12,15,250.000000,250.000000,0.000000

13,0,0.000000,249.553196,249.999695
13,1,249.556940,250.009741,249.566952
13,2,250.001820,249.556573,250.019715
13,3,249.587682,249.647224,249.975384
13,4,249.819600,249.778893,250.018304
13,5,249.779218,249.785185,250.025284
13,6,249.777466,249.793500,250.001676
13,7,250.003168,250.000032,250.000048
13,8,250.000237,250.000000,250.000000
13,9,250.000098,250.000000,250.000000
13,10,250.000001,250.000000,250.000000
13,11,250.000000,250.000000,250.000000
13,12,250.000000,250.000000,250.000000
13,13,250.000000,250.000000,250.000000
13,14,250.000000,250.000000,250.000000
