Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
36247, 3.62, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 471.81, -462.94, 15.43, 0
31773, 3.18, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, 537.81, -540.81, 18.03, 0
27918, 2.79, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 655.31, -673.50, 22.45, 0
24395, 2.44, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, 811.72, -848.85, 28.30, 0
21335, 2.13, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.99, 996.18, -1056.51, 35.22, 0
18764, 1.88, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.99, 1215.71, -1303.89, 43.46, 0
16519, 1.65, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.95, 1603.27, -1723.96, 57.47, 0
14653, 1.47, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.92, 2133.46, -2291.02, 76.37, 0
13118, 1.31, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.97, 2790.74, -2989.71, 99.66, 0
11847, 1.18, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.75, 3571.27, -3816.38, 127.21, 0
10786, 1.08, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.94, 4466.32, -4762.61, 158.75, 0
9889, 0.99, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.94, 5477.97, -5830.56, 194.35, 0
9123, 0.91, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.74, 6603.96, -7018.06, 233.94, 0
8462, 0.85, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.22, 7844.56, -8325.45, 277.52, 0
7887, 0.79, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 979.96, 9194.17, -9747.29, 324.91, 0
7383, 0.74, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.56, 10647.69, -11278.64, 375.95, 0
6937, 0.69, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.61, 12214.55, -12928.69, 430.96, 0
6540, 0.65, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.32, 13892.49, -14695.24, 489.84, 0
6185, 0.62, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.80, 15673.25, -16570.28, 552.34, 0
5865, 0.59, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 979.55, 17573.79, -18570.32, 619.01, 0
5576, 0.56, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 979.07, 19576.17, -20677.87, 689.26, 0
33545, 3.35, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 496.79, -402.58, 40.26, 0
31491, 3.15, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.98, 626.53, -514.10, 51.41, 0
29679, 2.97, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.96, 771.58, -640.43, 64.04, 0
27805, 2.78, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.99, 937.29, -786.06, 78.61, 0
25851, 2.59, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.94, 1127.99, -954.62, 95.46, 0
23906, 2.39, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.98, 1347.23, -1148.99, 114.90, 0
22053, 2.21, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.92, 1596.77, -1370.56, 137.06, 0
20345, 2.03, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.99, 1878.06, -1620.46, 162.05, 0
18800, 1.88, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.91, 2191.33, -1898.83, 189.88, 0
